Angle,Detector 4,Detector 3
0,828.5,1301.5
10,2537.75,1599.5833333333333
20,7848.291666666667,1382.9305555555554
30,14966.71527777778,1080.6550925925926
40,20066.619212962964,845.6091820987655
50,20014.103202160495,767.7681970164609
60,16406.18386702675,934.4613661694102
70,9494.863977837791,1240.4102276949018
80,3936.1439963062985,1472.5683712824837
90,1359.3573327177164,1687.428061880414
100,2648.7262221196193,1648.2380103134026
110,7842.45437035327,1368.039668385567
120,13704.242395058878,1031.6732780642612
130,18146.54039917648,825.9455463440436
140,18445.256733196078,766.6575910573406
150,15501.376122199346,970.6095985095568
160,8340.896020366557,1245.9349330849261
170,3038.1493367277594,1457.9891555141542
180,1259.5248894546266,1585.664859252359
