Angle,Detector 1,Detector 2
0,505,603
0,494,669
0,494,669
0,465,698
0,465,698
0,472,640
10,582,661
10,582,661
10,582,638
10,582,638
10,571,590
10,571,590
20,1168,623
20,1070,662
20,1070,662
20,1133,595
20,1133,595
20,1110,636
30,1785,588
30,1695,614
30,1695,614
30,1661,577
30,1661,577
30,1661,577
40,2072,567
40,2072,567
40,2042,514
40,2042,514
40,2047,529
40,2047,529
50,2105,524
50,2105,524
50,2115,551
50,2115,551
50,2100,595
50,2100,595
60,1846,616
60,1846,616
60,1816,542
60,1816,542
60,1815,558
60,1815,558
70,1288,625
70,1251,670
70,1251,670
70,1343,643
70,1343,643
70,1300,622
80,762,695
80,745,754
80,745,754
80,774,737
80,774,737
80,707,741
90,484,685
90,484,685
90,448,733
90,448,733
90,496,703
90,496,703
100,650,655
100,695,588
100,695,588
100,659,623
100,659,623
100,651,673
110,1145,625
110,1145,625
110,1089,610
110,1089,610
110,1056,643
110,1056,643
120,1737,551
120,1697,545
120,1697,545
120,1742,589
120,1742,589
120,1698,592
130,2116,515
130,2208,599
130,2208,599
130,2165,559
130,2165,559
130,2184,567
140,2160,574
140,2219,607
140,2219,607
140,2195,551
140,2195,551
140,2276,569
150,1857,578
150,1819,547
150,1819,547
150,1875,591
150,1875,591
150,1816,552
160,1253,647
160,1188,610
160,1188,610
160,1241,632
160,1241,632
160,1211,628
170,753,621
170,718,675
170,718,675
170,724,660
170,724,660
170,728,659
180,498,677
180,471,654
180,471,654
180,503,708
180,503,708
180,480,700
