Angle,Detector 4,Detector 3
0,653.5,32027.83333
10,1319.083333,27185.63889
20,2071.680556,14408.60648
30,2561.946759,4341.267747
40,2696.491127,2633.044624
50,2373.748521,10499.84077
60,1728.458087,24339.64013
70,989.4096811,37479.27335
80,616.9016135,44502.71223
90,851.6502689,41791.1187
100,1732.608378,30530.51978
110,3009.601396,15974.7533
120,4025.933566,4719.12555
130,4443.322261,2690.187592
140,3958.55371,10850.8646
150,2737.925618,25339.47743
160,1410.320936,39078.74624
170,681.8868227,45936.12437
180,1068.31447,42927.02073
