Angle,Detector 4,Detector 3
0,715.6666666666666,31812.5
10,1395.7777777777776,26940.916666666668
20,2076.796296296296,14300.15277777778
30,2543.466049382716,4311.5254629629635
40,2716.744341563786,2656.7542438271607
50,2413.6240569272977,10568.292373971193
60,1775.7706761545496,24078.882062328532
70,1037.1284460257582,37316.98034372142
80,665.0214076709598,44300.83005728691
90,916.1702346118267,41526.80500954782
100,1785.8617057686379,30564.467501591305
110,2988.3102842947733,15938.911250265219
120,4070.8850473824623,4802.31854171087
130,4471.814174563744,2699.386423618478
140,3929.3023624272905,10762.064403936412
150,2727.5503937378817,25302.344067322734
160,1451.4250656229804,38818.390677887124
170,737.7375109371634,45649.06511298119
180,1102.4562518228606,42758.6775188302
