Angle,Detector 4,Detector 3
0,13606.833333333334,9759.833333333334
10,7367.305555555556,17917.472222222223
20,1965.5509259259259,21937.578703703704
22.5,1011.9251543209876,22053.26311728395
30,3140.4875257201643,19799.710519547323
40,11583.747920953361,15568.951753257888
45,17772.45798682556,11514.325292209649
50,22964.24299780426,7590.3875487016085
60,30336.20716630071,2869.231258116935
67.5,34192.03452771679,1298.205209686156
70,34750.17242128613,1298.200868281026
80,29677.362070214353,4355.200144713504
90,19084.72701170239,9737.700024118918
100,8252.121168617065,14911.450004019818
110,2179.853528102844,17084.57500066997
112.5,1156.1422546838073,17326.095833444993
120,3311.3570424473014,15794.349305574166
130,10992.55950707455,11352.724884262361
135,16722.426584512425,8240.95414737706
140,21848.07109741874,5586.159024562843
150,28553.011849569786,2210.026504093807
157.5,29964.835308261634,1062.337750682301
160,29665.30588471027,1006.2229584470501
170,25219.38431411838,3259.870493074508
180,16004.064052353062,7268.645082179085
