HWP 1 Angle,HWP 2 Angle,Detector 4,Detector 3
0,0,542,18141.66667
0,10,3673.333333,20762.44444
0,20,12854.22222,15628.90741
0,22.5,16927.37037,12897.48457
0,30,24643.06173,7491.080761
0,40,33413.17695,2654.51346
0,45,35776.69616,1189.085577
0,50,34951.11603,1309.680929
0,60,28735.35267,4815.780155
0,67.5,21372.39211,9817.963359
0,70,17614.23202,12191.66056
0,80,7599.372003,17252.11009
0,90,1818.062001,19200.35168
0,100,4227.010333,17496.22528
0,110,13503.83506,12213.03755
0,112.5,17533.13918,10063.00626
0,120,25354.18986,6047.834376
0,130,32586.36498,2121.472396
0,135,34837.7275,1035.412066
0,140,34488.45458,1153.402011
0,150,27975.57576,3728.400335
0,157.5,19459.26263,6860.733389
0,160,15521.21044,8327.455565
0,170,6644.368406,12547.57593
0,180,1662.061401,14242.76265
22.5,0,13606.83333,9759.833333
22.5,10,7367.305556,17917.47222
22.5,20,1965.550926,21937.5787
22.5,22.5,1011.925154,22053.26312
22.5,30,3140.487526,19799.71052
22.5,40,11583.74792,15568.95175
22.5,45,17772.45799,11514.32529
22.5,50,22964.243,7590.387549
22.5,60,30336.20717,2869.231258
22.5,67.5,34192.03453,1298.20521
22.5,70,34750.17242,1298.200868
22.5,80,29677.36207,4355.200145
22.5,90,19084.72701,9737.700024
22.5,100,8252.121169,14911.45
22.5,110,2179.853528,17084.575
22.5,112.5,1156.142255,17326.09583
22.5,120,3311.357042,15794.34931
22.5,130,10992.55951,11352.72488
22.5,135,16722.42658,8240.954147
22.5,140,21848.0711,5586.159025
22.5,150,28553.01185,2210.026504
22.5,157.5,29964.83531,1062.337751
22.5,160,29665.30588,1006.222958
22.5,170,25219.38431,3259.870493
22.5,180,16004.06405,7268.645082
45,0,29262,966.8333333
45,10,33480.66667,2314.805556
45,20,26616.77778,7785.634259
45,22.5,22796.7963,10056.93904
45,30,14432.46605,14801.32317
45,40,5181.244342,21570.55386
45,45,1765.040724,23238.59231
45,50,1151.173454,22335.93205
45,60,6113.028909,18965.32201
45,67.5,14418.50482,14904.387
45,70,18519.91747,12644.73117
45,80,29336.98624,6203.121861
45,90,35744.33104,1959.186977
45,100,35030.88851,2159.031163
45,110,26642.48142,6163.838527
45,112.5,22800.2469,7986.473088
45,120,14492.54115,11803.57885
45,130,5382.756858,15530.26314
45,135,2095.459476,16747.04386
45,140,1526.409913,16715.34064
45,150,6121.568319,14128.89011
45,157.5,12820.42805,10351.81502
45,160,16016.40468,8661.96917
45,170,24862.56745,4582.828195
45,180,30168.92791,1598.638032
67.5,0,6493,17044.33333
67.5,10,17942.16667,14194.22222
67.5,20,29413.86111,6892.537037
67.5,22.5,32882.64352,4264.089506
67.5,30,36161.10725,1738.014918
67.5,40,35375.35121,2934.502486
67.5,45,31496.05853,5512.583748
67.5,50,25447.00976,8611.097291
67.5,60,14097.50163,15388.51622
67.5,67.5,6179.583604,21087.08604
67.5,70,3377.263934,23058.68101
67.5,80,1605.043989,23582.1135
67.5,90,7383.507332,19263.18558
67.5,100,18841.91789,12423.6976
67.5,110,29753.31965,5531.282933
67.5,112.5,33222.38661,3349.547155
67.5,120,36050.39777,1337.257859
67.5,130,33706.06629,2117.37631
67.5,135,29724.34438,3983.729385
67.5,140,24652.0574,6443.454897
67.5,150,13764.00957,11608.57582
67.5,157.5,5890.168261,14742.9293
67.5,160,3287.361377,15878.32155
67.5,170,1569.393563,17149.05359
67.5,180,6233.898927,14489.6756
90,0,665.1666667,17112.5
90,10,3502.861111,20060.75
90,20,12353.97685,15503.79167
90,22.5,16304.66281,12886.96528
90,30,24139.4438,7638.327546
90,40,33053.9073,2952.221258
90,45,35717.48455,1393.536876
90,50,34831.91409,1384.089479
90,60,28927.48568,4559.848247
90,67.5,21804.08095,9542.474708
90,70,18065.34682,11918.07912
90,80,8113.224471,17070.17985
90,90,2019.204078,19244.69664
90,100,3910.867346,17936.78277
90,110,12552.47789,12583.13046
90,112.5,16472.57965,10423.68841
90,120,24042.26327,6321.114735
90,130,31376.71055,2332.519123
90,135,33581.78509,1123.253187
90,140,33460.29752,1152.708865
90,150,27656.71625,3463.951477
90,157.5,19491.95271,6426.825246
90,160,15768.99212,7677.470874
90,170,7107.498686,11588.41181
90,180,1845.416448,13338.56864
