Angle,Detector 4,Detector 3
0,1152.8333333333333,42430.833333333336
10,4113.638888888889,44809.972222222226
20,8508.606481481482,38054.66203703704
22.5,10247.101080246914,35002.11033950617
30,12803.350180041152,29844.518389917695
40,14336.058363340193,26389.086398319614
45,14145.009727223363,26595.847733053273
50,13203.668287870561,28725.307955508877
60,9671.11138131176,36127.71799258481
67.5,6154.51856355196,43743.952998764136
70,4669.08642725866,46659.32549979402
80,1920.6810712097765,52459.887583298994
90,1382.113511868296,53662.14793054983
100,3869.0189186447155,49083.85798842497
110,8521.503153107453,40665.3096647375
112.5,10386.750525517908,37370.218277456246
120,13612.125087586319,31810.203046242706
130,16425.854181264385,27965.70050770712
135,16712.642363544062,27965.450084617856
140,15824.607060590677,29977.741680769643
150,11950.434510098445,37111.95694679494
157.5,7666.239085016407,44056.99282446582
160,5865.373180836068,47072.83213741097
170,2175.895530139345,52377.30535623516
180,1641.315921689891,52935.71755937252
