HWP Angle,QWP Angle,Horizontal Power,Vertical Power
0,0,690,
0,10,700,
0,20,630,
0,22.5,600,
0,30,510,
0,40,410,
0,45,380,
0,50,360,
0,60,410,
0,67.5,480,
0,70,530,
0,80,630,
0,90,700,
0,100,730,
0,110,630,
0,112.5,620,
0,120,510,
0,130,400,
0,135,350,
0,140,340,
0,150,380,
0,157.5,430,
0,160,500,
0,170,628,
0,180,710,
22.5,0,340,
22.5,10,465,
22.5,20,567,
22.5,22.5,585,
22.5,30,600,
22.5,40,546,
22.5,45,500,
22.5,50,420,
22.5,60,325,
22.5,67.5,260,
22.5,70,256,
22.5,80,270,
22.5,90,356,
22.5,100,500,
22.5,110,600,
22.5,112.5,630,
22.5,120,650,
22.5,130,570,
22.5,135,520,
22.5,140,350,
22.5,150,330,
22.5,157.5,267,
22.5,160,263,
22.5,170,280,
22.5,180,377,
45,0,60,
45,10,49,
45,20,113,
45,22.5,152,
45,30,240,
45,40,340,
45,45,380,
45,50,370,
45,60,348,
45,67.5,285,
45,70,238,
45,80,122,
45,90,48,
45,100,55,
45,110,145,
45,112.5,192,
45,120,275,
45,130,360,
45,135,422,
45,140,440,
45,150,380,
45,157.5,310,
45,160,280,
45,170,155,
45,180,60,
67.5,0,405,
67.5,10,290,
67.5,20,176,
67.5,22.5,155,
67.5,30,136,
67.5,40,185,
67.5,45,240,
67.5,50,296,
67.5,60,410,
67.5,67.5,470,
67.5,70,497,
67.5,80,481,
67.5,90,415,
67.5,100,295,
67.5,110,200,
67.5,112.5,179,
67.5,120,172,
67.5,130,238,
67.5,135,315,
67.5,140,370,
67.5,150,530,
67.5,157.5,600,
67.5,160,620,
67.5,170,600,
67.5,180,508,
90,0,710,
90,10,700,
90,20,640,
90,22.5,610,
90,30,500,
90,40,420,
90,45,370,
90,50,360,
90,60,390,
90,67.5,465,
90,70,510,
90,80,640,
90,90,740,
90,100,740,
90,110,675,
90,112.5,620,
90,120,560,
90,130,450,
90,135,410,
90,140,395,
90,150,440,
90,157.5,513,
90,160,520,
90,170,663,
90,180,777,
112.5,0,368,
112.5,10,480,
112.5,20,572,
112.5,22.5,615,
112.5,30,610,
112.5,40,585,
112.5,45,500,
112.5,50,465,
112.5,60,340,
112.5,67.5,289,
112.5,70,270,
112.5,80,283,
112.5,90,397,
112.5,100,522,
112.5,110,648,
112.5,112.5,632,
112.5,120,650,
112.5,130,596,
112.5,135,527,
112.5,140,446,
112.5,150,331,
112.5,157.5,278,
112.5,160,275,
112.5,170,293,
112.5,180,388,
135,0,52,
135,10,45,
135,20,123,
135,22.5,159,
135,30,255,
135,40,360,
135,45,402,
135,50,405,
135,60,398,
135,67.5,330,
135,70,284,
135,80,153,
135,90,63,
135,100,53,
135,110,122,
135,112.5,154,
135,120,250,
135,130,330,
135,135,387,
135,140,400,
135,150,370,
135,157.5,302,
135,160,250,
135,170,133,
135,180,52,
157.5,0,370,
157.5,10,265,
157.5,20,190,
157.5,22.5,165,
157.5,30,158,
157.5,40,227,
157.5,45,282,
157.5,50,363,
157.5,60,461,
157.5,67.5,523,
157.5,70,519,
157.5,80,510,
157.5,90,430,
157.5,100,290,
157.5,110,172,
157.5,112.5,147,
157.5,120,136,
157.5,130,193.1,
157.5,135,255.7,
157.5,140,320,
157.5,150,430,
157.5,157.5,489,
157.5,160,495,
157.5,170,480,
157.5,180,396,
180,0,679,
180,10,690,
180,20,624,
180,22.5,612,
180,30,539,
180,40,413,
180,45,372,
180,50,378,
180,60,400,
180,67.5,500,
180,70,512,
180,80,630,
180,90,713,
180,100,730,
180,110,643,
180,112.5,610,
180,120,514,
180,130,409,
180,135,369,
180,140,356,
180,150,405,
180,157.5,481,
180,160,505,
180,170,631,
180,180,730,
