Polarizer Angle,HWP Angle,Power
0,0,30
10,0,110
20,0,228
22.5,0,232
30,0,333
40,0,370
45,0,500
50,0,520
60,0,590
67.5,0,630
70,0,650
80,0,580
90,0,570
100,0,530
110,0,420
112.5,0,380
120,0,320
130,0,220
135,0,160
140,0,121
150,0,57
157.5,0,17.5
160,0,10.2
170,0,1.5
180,0,28
190,0,90
200,0,164
202.5,0,206
210,0,280
220,0,370
225,0,415
230,0,450
240,0,540
247.5,0,550
250,0,569
260,0,560
270,0,520
280,0,440
290,0,375
292.5,0,350
300,0,275
310,0,189
315,0,145
320,0,111
330,0,43
337.5,0,19
340,0,9.4
350,0,3
360,0,31
0,22.5,170
10,22.5,87
20,22.5,33
22.5,22.5,8.5
30,22.5,1
40,22.5,22
45,22.5,43
50,22.5,72
60,22.5,180
67.5,22.5,300
70,22.5,305
80,22.5,390
90,22.5,470
100,22.5,550
110,22.5,615
112.5,22.5,650
120,22.5,640
130,22.5,625
135,22.5,610
140,22.5,560
150,22.5,365
157.5,22.5,380
160,22.5,365
170,22.5,255
180,22.5,160
190,22.5,81
200,22.5,20.8
202.5,22.5,9
210,22.5,0.7
220,22.5,15
225,22.5,41
230,22.5,58
240,22.5,145
247.5,22.5,205
250,22.5,238
260,22.5,330
270,22.5,420
280,22.5,505
290,22.5,550
292.5,22.5,553
300,22.5,560
310,22.5,535
315,22.5,520
320,22.5,500
330,22.5,434
337.5,22.5,392
340,22.5,363
350,22.5,260
360,22.5,169
0,45,590
10,45,540
20,45,490
22.5,45,430
30,45,400
40,45,251
45,45,208
50,45,153
60,45,69
67.5,45,29
70,45,16.5
80,45,2.15
90,45,24.5
100,45,82
110,45,125
112.5,45,210
120,45,292
130,45,360
135,45,470
140,45,510
150,45,600
157.5,45,620
160,45,630
170,45,650
180,45,610
190,45,550
200,45,450
202.5,45,400
210,45,340
220,45,222
225,45,155
230,45,128
240,45,60.5
247.5,45,15.9
250,45,10
260,45,2.2
270,45,34
280,45,94
290,45,212
292.5,45,210
300,45,289
310,45,365
315,45,418
320,45,440
330,45,530
337.5,45,580
340,45,600
350,45,620
360,45,595
0,67.5,470
10,67.5,570
20,67.5,650
22.5,67.5,620
30,67.5,610
40,67.5,660
45,67.5,625
50,67.5,575
60,67.5,510
67.5,67.5,450
70,67.5,400
80,67.5,280
90,67.5,165
100,67.5,76
110,67.5,21
112.5,67.5,8.5
120,67.5,1.3
130,67.5,18.2
135,67.5,40
140,67.5,74
150,67.5,153
157.5,67.5,226
160,67.5,245
170,67.5,350
180,67.5,485
190,67.5,570
200,67.5,600
202.5,67.5,610
210,67.5,627
220,67.5,600
225,67.5,575
230,67.5,538
240,67.5,470
247.5,67.5,352
250,67.5,333
260,67.5,227
270,67.5,131
280,67.5,61
290,67.5,13
292.5,67.5,8.2
300,67.5,1.7
310,67.5,28
315,67.5,49
320,67.5,73
330,67.5,142
337.5,67.5,235
340,67.5,300
350,67.5,380
360,67.5,480
0,90,30
10,90,95
20,90,177
22.5,90,210
30,90,280
40,90,360
45,90,440
50,90,475
60,90,547
67.5,90,593
70,90,602
80,90,620
90,90,600
100,90,550
110,90,450
112.5,90,420
120,90,360
130,90,233
135,90,190
140,90,135
150,90,65
157.5,90,24
160,90,10.6
170,90,1.6
180,90,28.5
190,90,83.5
200,90,167
202.5,90,220
210,90,280
220,90,390
225,90,445
230,90,500
240,90,590
247.5,90,600
250,90,600
260,90,630
270,90,610
280,90,520
290,90,460
292.5,90,400
300,90,333
310,90,220
315,90,191
320,90,117
330,90,50
337.5,90,18
340,90,8.9
350,90,3.5
360,90,33
0,112.5,173
10,112.5,89
20,112.5,27.5
22.5,112.5,19
30,112.5,2.3
40,112.5,11.5
45,112.5,13.5
50,112.5,54
60,112.5,119
67.5,112.5,179
70,112.5,215
80,112.5,190
90,112.5,435
100,112.5,515
110,112.5,580
112.5,112.5,600
120,112.5,612
130,112.5,600
135,112.5,600
140,112.5,555
150,112.5,490
157.5,112.5,444
160,112.5,410
170,112.5,295
180,112.5,175
190,112.5,100
200,112.5,31.5
202.5,112.5,17
210,112.5,1.25
220,112.5,15
225,112.5,41
230,112.5,56
240,112.5,150
247.5,112.5,205
250,112.5,230
260,112.5,340
270,112.5,425
280,112.5,540
290,112.5,590
292.5,112.5,600
300,112.5,580
310,112.5,570
315,112.5,545
320,112.5,510
330,112.5,475
337.5,112.5,410
340,112.5,370
350,112.5,260
360,112.5,175
