Angle,Power,Angle (in Radians)
0,30,0
10,110,0.174532925
20,228,0.34906585
22.5,232,0.392699082
30,333,0.523598776
40,370,0.698131701
45,500,0.785398163
50,520,0.872664626
60,590,1.047197551
67.5,630,1.178097245
70,650,1.221730476
80,580,1.396263402
90,570,1.570796327
100,530,1.745329252
110,420,1.919862177
112.5,380,1.963495408
120,320,2.094395102
130,220,2.268928028
135,160,2.35619449
140,121,2.443460953
150,57,2.617993878
157.5,17.5,2.748893572
160,10.2,2.792526803
170,1.5,2.967059728
180,28,3.141592654
190,90,3.316125579
200,164,3.490658504
210,280,3.665191429
220,370,3.839724354
225,415,3.926990817
230,450,4.01425728
240,540,4.188790205
247.5,550,4.319689899
250,569,4.36332313
260,560,4.537856055
270,520,4.71238898
280,440,4.886921906
290,375,5.061454831
292.5,350,5.105088062
300,275,5.235987756
310,189,5.410520681
315,145,5.497787144
320,111,5.585053606
330,43,5.759586532
337.5,19,5.890486225
340,9.4,5.934119457
350,3,6.108652382
360,31,6.283185307
